"Catalog / Data Sheet","Part No.","Status","Apps.","Feature","L x W Size","T(Max.) / mm","Capacitance","Tolerance","Rated Voltage [DC] / V","Temp. Chara.","AEC- Q200"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005C0G1E102J050BA.pdf","C1005C0G1E102J050BA","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1nF","±5%","25","C0G","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005C0G1H102J050BA.pdf","C1005C0G1H102J050BA","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1nF","±5%","50","C0G","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005CH1H102J050BA.pdf","C1005CH1H102J050BA","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1nF","±5%","50","CH","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0G475K050BB.pdf","C1005JB0G475K050BB","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±10%","4","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0G475M050BB.pdf","C1005JB0G475M050BB","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±20%","4","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0J225K050BC.pdf","C1005JB0J225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","6.3","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0J225M050BC.pdf","C1005JB0J225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","6.3","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0J335K050BC.pdf","C1005JB0J335K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±10%","6.3","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0J335M050BC.pdf","C1005JB0J335M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±20%","6.3","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0J475K050BC.pdf","C1005JB0J475K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±10%","6.3","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB0J475M050BC.pdf","C1005JB0J475M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±20%","6.3","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005JB1A155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±10%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005JB1A155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±20%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1A225K050BC.pdf","C1005JB1A225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1A225M050BC.pdf","C1005JB1A225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1A335K050BC.pdf","C1005JB1A335K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±10%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1A335M050BC.pdf","C1005JB1A335M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±20%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1A475K050BC.pdf","C1005JB1A475K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±10%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1A475M050BC.pdf","C1005JB1A475M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±20%","10","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1C155K050BC.pdf","C1005JB1C155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±10%","16","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1C155M050BC.pdf","C1005JB1C155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±20%","16","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005JB1C225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","16","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005JB1C225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","16","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1E155K050BC.pdf","C1005JB1E155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±10%","25","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1E155M050BC.pdf","C1005JB1E155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±20%","25","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005JB1E225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±10%","25","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005JB1E225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±20%","25","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1V155K050BC.pdf","C1005JB1V155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±10%","35","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1V155M050BC.pdf","C1005JB1V155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±20%","35","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1V225K050BC.pdf","C1005JB1V225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","2.2μF","±10%","35","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005JB1V225M050BC.pdf","C1005JB1V225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","2.2μF","±20%","35","JB","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0G475K050BB.pdf","C1005X5R0G475K050BB","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±10%","4","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0G475M050BB.pdf","C1005X5R0G475M050BB","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±20%","4","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0J225K050BC.pdf","C1005X5R0J225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","6.3","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0J225M050BC.pdf","C1005X5R0J225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","6.3","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0J335K050BC.pdf","C1005X5R0J335K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±10%","6.3","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0J335M050BC.pdf","C1005X5R0J335M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±20%","6.3","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0J475K050BC.pdf","C1005X5R0J475K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±10%","6.3","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R0J475M050BC.pdf","C1005X5R0J475M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±20%","6.3","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A155K050BC.pdf","C1005X5R1A155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±10%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A155M050BC.pdf","C1005X5R1A155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±20%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A225K050BC.pdf","C1005X5R1A225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A225M050BC.pdf","C1005X5R1A225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A335K050BC.pdf","C1005X5R1A335K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±10%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A335M050BC.pdf","C1005X5R1A335M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±20%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A475K050BC.pdf","C1005X5R1A475K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±10%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1A475M050BC.pdf","C1005X5R1A475M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±20%","10","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1C155K050BC.pdf","C1005X5R1C155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±10%","16","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1C155M050BC.pdf","C1005X5R1C155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±20%","16","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1C225K050BC.pdf","C1005X5R1C225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","16","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1C225M050BC.pdf","C1005X5R1C225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","16","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1E155K050BC.pdf","C1005X5R1E155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±10%","25","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1E155M050BC.pdf","C1005X5R1E155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±20%","25","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1E225K050BC.pdf","C1005X5R1E225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±10%","25","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1E225M050BC.pdf","C1005X5R1E225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±20%","25","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1V155K050BC.pdf","C1005X5R1V155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±10%","35","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1V155M050BC.pdf","C1005X5R1V155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±20%","35","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1V225K050BC.pdf","C1005X5R1V225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","2.2μF","±10%","35","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X5R1V225M050BC.pdf","C1005X5R1V225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","2.2μF","±20%","35","X5R","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0G155K050BC.pdf","C1005X6S0G155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±10%","4","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0G155M050BC.pdf","C1005X6S0G155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±20%","4","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0G225K050BC.pdf","C1005X6S0G225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","4","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0G225M050BC.pdf","C1005X6S0G225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","4","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0G335K050BC.pdf","C1005X6S0G335K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±10%","4","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0G335M050BC.pdf","C1005X6S0G335M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","3.3μF","±20%","4","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0G475M050BC.pdf","C1005X6S0G475M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","4.7μF","±20%","4","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0J155K050BC.pdf","C1005X6S0J155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±10%","6.3","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0J155M050BC.pdf","C1005X6S0J155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±20%","6.3","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0J225K050BC.pdf","C1005X6S0J225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","6.3","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S0J225M050BC.pdf","C1005X6S0J225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","6.3","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1A155K050BC.pdf","C1005X6S1A155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±10%","10","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1A155M050BC.pdf","C1005X6S1A155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±20%","10","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1A225K050BC.pdf","C1005X6S1A225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±10%","10","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1A225M050BC.pdf","C1005X6S1A225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±20%","10","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1C155K050BC.pdf","C1005X6S1C155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±10%","16","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1C155M050BC.pdf","C1005X6S1C155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±20%","16","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1C225K050BC.pdf","C1005X6S1C225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","2.2μF","±10%","16","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X6S1C225M050BC.pdf","C1005X6S1C225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","2.2μF","±20%","16","X6S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X7S0G155K050BC.pdf","C1005X7S0G155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±10%","4","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X7S0G155M050BC.pdf","C1005X7S0G155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","1.5μF","±20%","4","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X7S0G225K050BC.pdf","C1005X7S0G225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±10%","4","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X7S0G225M050BC.pdf","C1005X7S0G225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.55","2.2μF","±20%","4","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005X7S0J155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±10%","6.3","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005X7S0J155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","1.5μF","±20%","6.3","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X7S0J225K050BC.pdf","C1005X7S0J225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±10%","6.3","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X7S0J225M050BC.pdf","C1005X7S0J225M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.6","2.2μF","±20%","6.3","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005X7S1A155K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±10%","10","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf","C1005X7S1A155M050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","1.5μF","±20%","10","X7S","No"
"https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_general_en.pdf https://product.tdk.com/info/en/documents/chara_sheet/C1005X7S1A225K050BC.pdf","C1005X7S1A225K050BC","Production","Commercial Grade","General (Up to 75V)","1.0mm x 0.5mm [EIA 0402]","0.65","2.2μF","±10%","10","X7S","No"
