"Part Number","Status","Characteristic","Length","Width","Thickness","Temperature characteristics","Rated Voltage","Capacitance","Tolerance of capacitance","Notes"
"GRM022D80E474ME05#","In Production|NewStatus","General|Up to 105℃|Reflow soldering","0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","X6T(EIA)","2.5Vdc","0.47μF","±20%","Derating1。 Only for mobile devices"
"GRM188D70E476ME01#","In Production|NewStatus","General|Up to 125℃|Reflow soldering|Flow soldering","1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","X7T(EIA)","2.5Vdc","47μF","±20%","Measure capacitance after heat treatment"
"GRM188R60G476ME01#","In Production|NewStatus","General|Up to 85℃|Reflow soldering|Flow soldering","1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","X5R(EIA)","4Vdc","47μF","±20%","Measure capacitance after heat treatment"
"GRM188R60J476ME01#","In Production|NewStatus","General|Up to 85℃|Reflow soldering|Flow soldering","1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","X5R(EIA)","6.3Vdc","47μF","±20%","Derating1。 Measure capacitance after heat treatment"
"GRM31CC71E226ME15#","In Production|NewStatus","General|Up to 125℃|Reflow soldering|Flow soldering","3.2 ±0.3mm","1.6 ±0.3mm","1.6 ±0.3mm","X7S(EIA)","25Vdc","22μF","±20%",""
"GRM0115C1C100GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","10pF","±2%",""
"GRM0115C1C100JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","10pF","±5%",""
"GRM0115C1C101GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","100pF","±2%",""
"GRM0115C1C101JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","100pF","±5%",""
"GRM0115C1C110GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","11pF","±2%",""
"GRM0115C1C110JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","11pF","±5%",""
"GRM0115C1C120GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","12pF","±2%",""
"GRM0115C1C120JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","12pF","±5%",""
"GRM0115C1C130GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","13pF","±2%",""
"GRM0115C1C130JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","13pF","±5%",""
"GRM0115C1C150GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","15pF","±2%",""
"GRM0115C1C150JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","15pF","±5%",""
"GRM0115C1C160GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","16pF","±2%",""
"GRM0115C1C160JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","16pF","±5%",""
"GRM0115C1C180GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","18pF","±2%",""
"GRM0115C1C180JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","18pF","±5%",""
"GRM0115C1C1R0BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1pF","±0.1pF",""
"GRM0115C1C1R0CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1pF","±0.25pF",""
"GRM0115C1C1R0WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1pF","±0.05pF",""
"GRM0115C1C1R1BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.1pF","±0.1pF",""
"GRM0115C1C1R1CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.1pF","±0.25pF",""
"GRM0115C1C1R1WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.1pF","±0.05pF",""
"GRM0115C1C1R2BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.2pF","±0.1pF",""
"GRM0115C1C1R2CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.2pF","±0.25pF",""
"GRM0115C1C1R2WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.2pF","±0.05pF",""
"GRM0115C1C1R3BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.3pF","±0.1pF",""
"GRM0115C1C1R3CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.3pF","±0.25pF",""
"GRM0115C1C1R3WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.3pF","±0.05pF",""
"GRM0115C1C1R4BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.4pF","±0.1pF",""
"GRM0115C1C1R4CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.4pF","±0.25pF",""
"GRM0115C1C1R4WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.4pF","±0.05pF",""
"GRM0115C1C1R5BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.5pF","±0.1pF",""
"GRM0115C1C1R5CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.5pF","±0.25pF",""
"GRM0115C1C1R5WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.5pF","±0.05pF",""
"GRM0115C1C1R6BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.6pF","±0.1pF",""
"GRM0115C1C1R6CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.6pF","±0.25pF",""
"GRM0115C1C1R6WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.6pF","±0.05pF",""
"GRM0115C1C1R7BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.7pF","±0.1pF",""
"GRM0115C1C1R7CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.7pF","±0.25pF",""
"GRM0115C1C1R7WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.7pF","±0.05pF",""
"GRM0115C1C1R8BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.8pF","±0.1pF",""
"GRM0115C1C1R8CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.8pF","±0.25pF",""
"GRM0115C1C1R8WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.8pF","±0.05pF",""
"GRM0115C1C1R9BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.9pF","±0.1pF",""
"GRM0115C1C1R9CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.9pF","±0.25pF",""
"GRM0115C1C1R9WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","1.9pF","±0.05pF",""
"GRM0115C1C200GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","20pF","±2%",""
"GRM0115C1C200JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","20pF","±5%",""
"GRM0115C1C220GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","22pF","±2%",""
"GRM0115C1C220JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","22pF","±5%",""
"GRM0115C1C240GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","24pF","±2%",""
"GRM0115C1C240JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","24pF","±5%",""
"GRM0115C1C270GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","27pF","±2%",""
"GRM0115C1C270JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","27pF","±5%",""
"GRM0115C1C2R0BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2pF","±0.1pF",""
"GRM0115C1C2R0CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2pF","±0.25pF",""
"GRM0115C1C2R0WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2pF","±0.05pF",""
"GRM0115C1C2R1BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.1pF","±0.1pF",""
"GRM0115C1C2R1CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.1pF","±0.25pF",""
"GRM0115C1C2R1WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.1pF","±0.05pF",""
"GRM0115C1C2R2BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.2pF","±0.1pF",""
"GRM0115C1C2R2CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.2pF","±0.25pF",""
"GRM0115C1C2R2WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.2pF","±0.05pF",""
"GRM0115C1C2R3BE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.3pF","±0.1pF",""
"GRM0115C1C2R3CE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.3pF","±0.25pF",""
"GRM0115C1C2R3WE11#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.3pF","±0.05pF",""
"GRM0115C1C2R4BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.4pF","±0.1pF",""
"GRM0115C1C2R4CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.4pF","±0.25pF",""
"GRM0115C1C2R4WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.4pF","±0.05pF",""
"GRM0115C1C2R5BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.5pF","±0.1pF",""
"GRM0115C1C2R5CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.5pF","±0.25pF",""
"GRM0115C1C2R5WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.5pF","±0.05pF",""
"GRM0115C1C2R6BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.6pF","±0.1pF",""
"GRM0115C1C2R6CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.6pF","±0.25pF",""
"GRM0115C1C2R6WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.6pF","±0.05pF",""
"GRM0115C1C2R7BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.7pF","±0.1pF",""
"GRM0115C1C2R7CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.7pF","±0.25pF",""
"GRM0115C1C2R7WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.7pF","±0.05pF",""
"GRM0115C1C2R8BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.8pF","±0.1pF",""
"GRM0115C1C2R8CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.8pF","±0.25pF",""
"GRM0115C1C2R8WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.8pF","±0.05pF",""
"GRM0115C1C2R9BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.9pF","±0.1pF",""
"GRM0115C1C2R9CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.9pF","±0.25pF",""
"GRM0115C1C2R9WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","2.9pF","±0.05pF",""
"GRM0115C1C300GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","30pF","±2%",""
"GRM0115C1C300JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","30pF","±5%",""
"GRM0115C1C330GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","33pF","±2%",""
"GRM0115C1C330JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","33pF","±5%",""
"GRM0115C1C360GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","36pF","±2%",""
"GRM0115C1C360JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","36pF","±5%",""
"GRM0115C1C390GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","39pF","±2%",""
"GRM0115C1C390JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","39pF","±5%",""
"GRM0115C1C3R0BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3pF","±0.1pF",""
"GRM0115C1C3R0CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3pF","±0.25pF",""
"GRM0115C1C3R0WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3pF","±0.05pF",""
"GRM0115C1C3R1BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.1pF","±0.1pF",""
"GRM0115C1C3R1CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.1pF","±0.25pF",""
"GRM0115C1C3R1WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.1pF","±0.05pF",""
"GRM0115C1C3R2BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.2pF","±0.1pF",""
"GRM0115C1C3R2CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.2pF","±0.25pF",""
"GRM0115C1C3R2WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.2pF","±0.05pF",""
"GRM0115C1C3R3BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.3pF","±0.1pF",""
"GRM0115C1C3R3CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.3pF","±0.25pF",""
"GRM0115C1C3R3WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.3pF","±0.05pF",""
"GRM0115C1C3R4BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.4pF","±0.1pF",""
"GRM0115C1C3R4CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.4pF","±0.25pF",""
"GRM0115C1C3R4WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.4pF","±0.05pF",""
"GRM0115C1C3R5BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.5pF","±0.1pF",""
"GRM0115C1C3R5CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.5pF","±0.25pF",""
"GRM0115C1C3R5WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.5pF","±0.05pF",""
"GRM0115C1C3R6BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.6pF","±0.1pF",""
"GRM0115C1C3R6CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.6pF","±0.25pF",""
"GRM0115C1C3R6WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.6pF","±0.05pF",""
"GRM0115C1C3R7BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.7pF","±0.1pF",""
"GRM0115C1C3R7CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.7pF","±0.25pF",""
"GRM0115C1C3R7WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.7pF","±0.05pF",""
"GRM0115C1C3R8BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.8pF","±0.1pF",""
"GRM0115C1C3R8CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.8pF","±0.25pF",""
"GRM0115C1C3R8WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.8pF","±0.05pF",""
"GRM0115C1C3R9BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.9pF","±0.1pF",""
"GRM0115C1C3R9CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.9pF","±0.25pF",""
"GRM0115C1C3R9WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","3.9pF","±0.05pF",""
"GRM0115C1C430GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","43pF","±2%",""
"GRM0115C1C430JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","43pF","±5%",""
"GRM0115C1C470GE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","47pF","±2%",""
"GRM0115C1C470JE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","47pF","±5%",""
"GRM0115C1C4R0BE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","4pF","±0.1pF",""
"GRM0115C1C4R0CE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","4pF","±0.25pF",""
"GRM0115C1C4R0WE01#","In Production","General|Up to 125℃|Reflow soldering","0.25 ±0.013mm","0.125 ±0.013mm","0.125 ±0.013mm","C0G(EIA)","16Vdc","4pF","±0.05pF",""
